arraySize,combinedSort128
8,0.000397
16,0.001936
24,0.005228
32,0.010123
40,0.018443
48,0.034236
56,0.053987
64,0.079184
72,0.127788
80,0.170085
88,0.208188
96,0.266082
104,0.342026
112,0.402824
120,0.540094
128,0.631462
136,0.641275
144,0.654977
152,0.670172
160,0.683119
168,0.695773
176,0.709221
184,0.723799
192,0.739643
200,0.759058
208,0.774319
216,0.793778
224,0.821002
232,0.847284
240,0.869987
248,0.906795
256,0.936454
264,0.97771
272,1.02157
280,1.06766
288,1.11533
296,1.14521
304,1.18828
312,1.21956
320,1.25344
328,1.28756
336,1.32449
344,1.37011
352,1.40545
360,1.4411
368,1.47709
376,1.5134
384,1.5509
392,1.58898
400,1.62841
408,1.67079
416,1.71137
424,1.76324
432,1.80574
440,1.84963
448,1.8943
456,1.94059
464,1.98697
472,2.03576
480,2.09009
488,2.15139
496,2.20143
504,2.25711
512,2.30952
520,2.37306
528,2.43911
536,2.50027
544,2.57229
552,2.64521
560,2.72022
568,2.78605
576,2.85476
584,2.92664
592,3.00485
600,3.08012
608,3.15557
616,3.23529
624,3.30579
632,3.38633
640,3.45897
648,3.54797
656,3.63221
664,3.71563
672,3.80279
680,3.8889
688,3.97188
696,4.05485
704,4.13973
712,4.23722
720,4.33392
728,4.42475
736,4.51373
744,4.60668
752,4.7051
760,4.7975
768,4.89722
776,5.008
784,5.10442
792,5.20665
