arraySize,quickSort,insertSort,combinedSort
8,0.000778,0.000448,0.000415
16,0.00238,0.002033,0.00151
24,0.004906,0.00549,0.003636
32,0.008177,0.011371,0.006401
40,0.013519,0.023312,0.011546
48,0.018861,0.036893,0.016483
56,0.024936,0.054715,0.022037
64,0.032106,0.078324,0.028475
72,0.043141,0.116655,0.039034
80,0.055938,0.167993,0.051392
88,0.066634,0.214227,0.065128
96,0.078933,0.268782,0.075973
104,0.09229,0.333784,0.089075
112,0.105567,0.405831,0.101459
120,0.120054,0.488751,0.11556
128,0.135503,0.58526,0.130362
136,0.150744,0.684551,0.145008
144,0.167508,0.800573,0.161442
152,0.18543,0.928552,0.179205
160,0.203492,1.06608,0.196932
168,0.222632,1.21591,0.215798
176,0.242578,1.38109,0.235354
184,0.263554,1.56148,0.255762
192,0.285199,1.75797,0.276891
200,0.307967,1.971,0.299328
208,0.332476,2.20629,0.32307
216,0.357567,2.45597,0.347397
224,0.383284,2.72324,0.372155
232,0.410555,3.01472,0.398933
240,0.438686,3.3274,0.42644
248,0.467388,3.65521,0.45485
256,0.497639,4.00695,0.484457
264,0.528341,4.37899,0.514666
272,0.560809,4.77736,0.546808
280,0.593853,5.20108,0.579175
288,0.627788,5.65024,0.612784
296,0.662946,6.12005,0.647731
304,0.700823,6.62262,0.684162
312,0.737856,7.15064,0.720872
320,0.774818,7.69639,0.757214
328,0.814146,8.27864,0.795921
336,0.854324,8.88584,0.835417
344,0.896056,9.5263,0.877265
352,0.937758,10.1844,0.918076
360,0.980969,10.8731,0.960219
368,1.02461,11.6004,1.00314
376,1.06886,12.3527,1.04759
384,1.123,13.2861,1.10047
392,1.16959,14.1028,1.1465
400,1.21793,14.9565,1.19401
408,1.26749,15.8468,1.24335
416,1.31766,16.7841,1.29313
424,1.36874,17.7426,1.34416
432,1.42175,18.745,1.3962
440,1.47443,19.7749,1.4477
448,1.5294,20.8426,1.50004
456,1.58455,21.9621,1.55428
464,1.64214,23.1317,1.61103
472,1.70081,24.35,1.66891
480,1.77744,25.9301,1.74437
488,1.85901,27.5693,1.81885
496,1.93265,29.2025,1.89044
504,2.0002,30.7058,1.95789
512,2.07485,32.3717,2.02977
520,2.14418,33.9334,2.0982
528,2.22038,35.6737,2.17317
536,2.29395,37.4234,2.24735
544,2.36997,39.2128,2.32109
552,2.44623,40.9981,2.39505
560,2.5175,42.7283,2.46513
568,2.58897,44.4954,2.53546
576,2.66002,46.3178,2.60654
584,2.73238,48.1663,2.67846
592,2.80843,50.0815,2.75355
600,2.88671,52.0967,2.83108
608,2.96194,54.0682,2.90516
616,3.04071,56.1987,2.98242
624,3.11928,58.3494,3.06045
632,3.20239,60.6757,3.14309
640,3.2839,62.9424,3.22325
648,3.36365,65.2121,3.30242
656,3.44507,67.534,3.38332
664,3.52635,69.893,3.46334
672,3.61232,72.3437,3.54707
680,3.69844,74.8856,3.63356
688,3.7903,77.5581,3.72439
696,3.88332,80.3326,3.81703
704,3.98132,83.2915,3.91447
712,4.07573,86.1478,4.00906
720,4.17974,89.2533,4.10952
728,4.27171,92.111,4.20057
736,4.3636,95.0391,4.29283
744,4.46325,98.2669,4.39511
752,4.55697,101.299,4.4868
760,4.65706,104.462,4.58368
768,4.7532,107.64,4.68042
776,4.8508,110.893,4.77614
784,4.94786,114.19,4.87216
792,5.04779,117.545,4.97072
