testNum,quickSort,insertSort,sort
1,0.0048,0.1937,0.0059
2,0.005,0.2103,0.0054
3,0.0047,0.1947,0.005
4,0.0074,0.228,0.0051
5,0.0069,0.284,0.0089
6,0.0092,0.2834,0.0077
7,0.0047,0.1908,0.0052
8,0.0047,0.1824,0.005
9,0.0048,0.1829,0.0049
10,0.0046,0.1935,0.0049
11,0.0049,0.2035,0.0051
12,0.0046,0.1877,0.0052
13,0.0046,0.1875,0.0049
14,0.0049,0.1883,0.0048
15,0.0046,0.1949,0.0068
16,0.0049,0.208,0.0051
17,0.0046,0.1928,0.0049
18,0.0046,0.19,0.0049
19,0.0047,0.1903,0.0048
20,0.0061,0.1982,0.005
21,0.005,0.2107,0.0074
22,0.0047,0.2018,0.0049
23,0.0047,0.1921,0.0049
24,0.0052,0.1936,0.0051
25,0.0047,0.1893,0.0048
26,0.0048,0.1907,0.0048
27,0.005,0.1932,0.0048
28,0.0067,0.2217,0.0064
29,0.0051,0.1926,0.0074
30,0.0049,0.1896,0.0053
31,0.005,0.1903,0.005
32,0.0048,0.1908,0.0051
33,0.0049,0.1927,0.005
34,0.0069,0.1944,0.005
35,0.0047,0.1895,0.0049
36,0.0047,0.19,0.005
37,0.0047,0.1904,0.0048
38,0.005,0.2154,0.005
39,0.0046,0.1881,0.0049
40,0.0047,0.1878,0.0049
41,0.0046,0.1876,0.0048
42,0.0049,0.2039,0.005
43,0.0046,0.1908,0.0051
44,0.0049,0.2218,0.0272
45,0.0046,0.1876,0.005
46,0.0048,0.2051,0.005
47,0.0047,0.1889,0.0048
48,0.0047,0.202,0.0051
49,0.0046,0.1922,0.0052
50,0.0048,0.1883,0.0047
51,0.0047,0.1879,0.0051
52,0.0048,0.2087,0.0049
53,0.0047,0.1856,0.0051
54,0.0046,0.1908,0.0047
55,0.0046,0.1875,0.0049
56,0.0049,0.2106,0.0049
57,0.0046,0.1892,0.0051
58,0.0049,0.2034,0.0066
59,0.0047,0.1901,0.0048
60,0.0048,0.1932,0.0048
61,0.0049,0.2085,0.005
62,0.0047,0.187,0.005
63,0.0048,0.1901,0.0049
64,0.0073,0.2264,0.005
65,0.0049,0.2288,0.0052
66,0.0048,0.1946,0.0049
67,0.005,0.2031,0.005
68,0.0091,0.4079,0.006
69,0.0049,0.203,0.0049
70,0.0049,0.199,0.0049
71,0.0049,0.2066,0.0052
72,0.0098,0.243,0.0051
73,0.0078,0.2584,0.0084
74,0.0093,0.2833,0.0083
75,0.0062,0.2818,0.0084
76,0.0075,0.2963,0.0083
77,0.005,0.2703,0.0076
78,0.0047,0.1931,0.0049
79,0.0047,0.1968,0.005
80,0.0046,0.1973,0.0049
81,0.0047,0.1917,0.005
82,0.0047,0.1896,0.0049
83,0.0048,0.1948,0.0047
84,0.0048,0.2106,0.0053
85,0.0054,0.2399,0.0115
86,0.0099,0.2212,0.0102
87,0.005,0.2667,0.0094
88,0.0061,0.2422,0.0109
89,0.0052,0.2221,0.0115
90,0.0049,0.2592,0.0096
91,0.0094,0.2602,0.0048
92,0.0076,0.3017,0.0049
93,0.0074,0.3051,0.0095
94,0.0256,0.2814,0.008
95,0.007,0.2216,0.0058
96,0.0096,0.2239,0.0055
97,0.0079,0.3009,0.0079
98,0.0222,0.3622,0.0081
99,0.0074,0.3219,0.0056
100,0.0096,0.3392,0.0122
