testNum,time
1,0.1908
2,0.2041
3,0.1869
4,0.1883
5,0.1998
6,0.1891
7,0.1893
8,0.1886
9,0.1963
10,0.1911
11,0.1919
12,0.1932
13,0.1925
14,0.2054
15,0.1905
16,0.2067
17,0.1915
18,0.1926
19,0.1858
20,0.1928
21,0.1929
22,0.1959
23,0.202
24,0.2151
25,0.192
26,0.1885
27,0.2256
28,0.186
29,0.1886
30,0.1899
31,0.19
32,0.2505
33,0.19
34,0.1866
35,0.1941
36,0.2134
37,0.2172
38,0.193
39,0.2407
40,0.3072
41,0.2962
42,0.3079
43,0.3052
44,0.19
45,0.3326
46,0.2867
47,0.2998
48,0.2513
49,0.1957
50,0.202
51,0.1916
52,0.1937
53,0.1925
54,0.1917
55,0.1908
56,0.193
57,0.2054
58,0.1979
59,0.2317
60,0.2692
61,0.2
62,0.1855
63,0.1906
64,0.1872
65,0.1875
66,0.1996
67,0.1917
68,0.2469
69,0.2671
70,0.2712
71,0.1951
72,0.1867
73,0.1875
74,0.214
75,0.1924
76,0.1888
77,0.1907
78,0.1955
79,0.1927
80,0.2356
81,0.2473
82,0.2227
83,0.1925
84,0.1873
85,0.1943
86,0.1885
87,0.1955
88,0.1879
89,0.2084
90,0.2184
91,0.2725
92,0.2773
93,0.2214
94,0.2746
95,0.2879
96,0.2943
97,0.2881
98,0.206
99,0.2317
100,0.2036
