testNum,time
1,0.0083
2,0.0055
3,0.0053
4,0.0051
5,0.005
6,0.0048
7,0.0048
8,0.0049
9,0.005
10,0.0049
11,0.0049
12,0.0049
13,0.0049
14,0.0048
15,0.0048
16,0.0048
17,0.0048
18,0.0048
19,0.005
20,0.0048
21,0.0049
22,0.005
23,0.0049
24,0.0049
25,0.0049
26,0.0049
27,0.0049
28,0.0048
29,0.0049
30,0.0048
31,0.0049
32,0.0049
33,0.0048
34,0.0047
35,0.0048
36,0.0049
37,0.0048
38,0.0048
39,0.0049
40,0.005
41,0.0048
42,0.0049
43,0.0049
44,0.0048
45,0.005
46,0.0048
47,0.0048
48,0.0048
49,0.005
50,0.005
51,0.0049
52,0.0048
53,0.0049
54,0.0049
55,0.0048
56,0.0048
57,0.0049
58,0.0048
59,0.0048
60,0.0049
61,0.0049
62,0.005
63,0.0048
64,0.0048
65,0.0048
66,0.0048
67,0.0049
68,0.0049
69,0.005
70,0.0049
71,0.0049
72,0.0048
73,0.0049
74,0.0049
75,0.0048
76,0.0048
77,0.005
78,0.0047
79,0.0049
80,0.0049
81,0.0048
82,0.0049
83,0.0048
84,0.0048
85,0.005
86,0.0048
87,0.0049
88,0.0049
89,0.0048
90,0.0047
91,0.0049
92,0.0051
93,0.005
94,0.0049
95,0.0048
96,0.0048
97,0.0047
98,0.005
99,0.0049
100,0.0048
