testNum,time
1,0.0105
2,0.0074
3,0.0068
4,0.0072
5,0.0071
6,0.0065
7,0.0078
8,0.0069
9,0.0067
10,0.0071
11,0.0091
12,0.0068
13,0.0071
14,0.0142
15,0.168
16,0.0073
17,0.0073
18,0.0063
19,0.0074
20,0.0076
21,0.0079
22,0.0076
23,0.0064
24,0.007
25,0.0079
26,0.0062
27,0.0079
28,0.0062
29,0.0086
30,0.0071
31,0.0067
32,0.0066
33,0.0068
34,0.0061
35,0.0084
36,0.0063
37,0.0069
38,0.0089
39,0.0064
40,0.0061
41,0.0063
42,0.0094
43,0.0064
44,0.0063
45,0.0066
46,0.0062
47,0.0063
48,0.008
49,0.0063
50,0.0069
51,0.0067
52,0.0066
53,0.0069
54,0.006
55,0.0078
56,0.0062
57,0.007
58,0.0064
59,0.0064
60,0.0068
61,0.0081
62,0.0079
63,0.0081
64,0.0074
65,0.0064
66,0.0064
67,0.0092
68,0.0063
69,0.0065
70,0.006
71,0.0071
72,0.0064
73,0.0071
74,0.0076
75,0.0066
76,0.0071
77,0.0065
78,0.007
79,0.0071
80,0.0073
81,0.0064
82,0.0067
83,0.0064
84,0.0098
85,0.0062
86,0.0072
87,0.0065
88,0.0067
89,0.0063
90,0.0066
91,0.006
92,0.0074
93,0.0062
94,0.0069
95,0.0071
96,0.0071
97,0.0063
98,0.0067
99,0.0087
100,0.0079
